ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (lbs)","Length (in)","Width (in)","Height (in)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global","Attribute 5 name","Attribute 5 value(s)","Attribute 5 visible","Attribute 5 global","Attribute 6 name","Attribute 6 value(s)","Attribute 6 visible","Attribute 6 global","Attribute 7 name","Attribute 7 value(s)","Attribute 7 visible","Attribute 7 global","Attribute 8 name","Attribute 8 value(s)","Attribute 8 visible","Attribute 8 global","Attribute 9 name","Attribute 9 value(s)","Attribute 9 visible","Attribute 9 global","Attribute 10 name","Attribute 10 value(s)","Attribute 10 visible","Attribute 10 global","Attribute 11 name","Attribute 11 value(s)","Attribute 11 visible","Attribute 11 global","Attribute 12 name","Attribute 12 value(s)","Attribute 12 visible","Attribute 12 global","Attribute 13 name","Attribute 13 value(s)","Attribute 13 visible","Attribute 13 global","Attribute 14 name","Attribute 14 value(s)","Attribute 14 visible","Attribute 14 global","Attribute 15 name","Attribute 15 value(s)","Attribute 15 visible","Attribute 15 global","Attribute 16 name","Attribute 16 value(s)","Attribute 16 visible","Attribute 16 global","Attribute 17 name","Attribute 17 value(s)","Attribute 17 visible","Attribute 17 global","Attribute 18 name","Attribute 18 value(s)","Attribute 18 visible","Attribute 18 global","Attribute 19 name","Attribute 19 value(s)","Attribute 19 visible","Attribute 19 global"
323,simple,AC2065,,"LeRoi 25 HP Air Compressor AC2065",1,0,visible,"OAD: 89""L x 37""W x 56""H. Wired for 460 volt. 12,724 hours. LeRoi pump model: A219-79. Serial Number: 4078X902. Tested.","LeRoi 25 HP Air Compressor AC2065\n\nhttps://www.youtube.com/watch?v=dgXTFHevTgk&amp;t=6s",,,taxable,,0,0,,0,0,9999,,,,0,,,4950,"Air Compressors",,,"https://lanco-corp.com/wp-content/uploads/2021/03/AC2065C.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2065.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2065A.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2065B.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2065D.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2065E.jpg",,,,,,,,,1744,,inventory,AC2065,1,1,Manufacturer,Leroi,1,0,Model,T25SS,1,0,HP,25,1,0,CFM,120,1,0,Volts,230/460,1,0,Weight,9999,1,0,PSI,125,1,0,"Serial Number",4080C40,1,0,weight,9999,1,1,"New / Used",Used,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,simple,AC2022,,"Used - Sullair 100 HP 20-100LH Air Compressor-Air Compressors",1,0,visible,"Max 110 HP.  Air Cooled.  61,793 Hours.  BOM# 006728-001.  96&quot;L x 62&quot;W x 66&quot;H.  Without Inclosure.","Used  - Sullair 100 HP 20-100LH Air Compressor",,,taxable,,0,0,,0,0,4318,,,,0,,,7950,"Air Compressors",,,"https://lanco-corp.com/wp-content/uploads/2021/03/AC2022.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2022A.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2022B.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2022C.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2022D.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2022E.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2022F.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2022G.jpg",,,,,,,,,3775,,Inventory,AC2022,1,0,inventory,AC2022,1,1,Manufacturer,Sullair,1,1,Manufacturer,Sullair,1,0,Model,20-100LH,1,0,model,20-100LH,1,1,HP,100,1,0,hp,100,1,1,CFM,500,1,1,Volts,480,1,0,Weight,4318,1,0,PSI,100,1,0,"Serial Number",003-62349,1,0,Volts,480,1,1,CFM,500,1,0,weight,4318,1,1,"New / Used",Used,1,1,psi,100,1,1,serial-num,003-62349,1,1
325,simple,AC2023,,"Used - Quincy 100 HP Air Compressor-Air Compressors",1,0,visible,"29,752 Hours. Panel Part # 127019-002. 108""L x 76""W with Exhaust Hose x 68""H.","Used - Quincy 100 HP Air Compressor\n\nhttps://www.youtube.com/watch?v=xbP-x43PCKE",,,taxable,,0,0,,0,0,4496,,,,0,,,10000,"Air Compressors",,,"https://lanco-corp.com/wp-content/uploads/2021/03/AC2023.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2023A.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2023B.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2023C.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2023D.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2023E.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2023F.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2023G.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2023H.jpg",,,,,,,,,3729,,inventory,AC2023,1,1,Inventory,AC2023,1,0,Manufacturer,Quincy,1,0,Manufacturer,Quincy,1,1,Model,490,1,0,model,490,1,1,HP,100,1,0,hp,100,1,1,CFM,0,1,1,CFM,0,1,0,Volts,460,1,0,Weight,4496,1,0,Volts,460,1,1,PSI,200,1,0,"Serial Number","38810 SI04WCW3MD",1,0,weight,4496,1,1,"New / Used",Used,1,1,psi,200,1,1,serial-num,"38810 SI04WCW3MD",1,1
326,simple,AC2044,,"Gardner Denver 100 HP Air Compressor AC2044",1,0,visible,"Electra-Saver II.  Intensive Injection.  3 HP Fan Motor.  29,399.5 Hours.  Discharge Air Temperature Gauge.   Discharge Air Pressure Gauge.  Needs Oil.","Gardner Denver 100 HP Air Compressor AC2044",,,taxable,,0,0,,0,0,4500,,,,0,,,6950,"Air Compressors",,,"https://lanco-corp.com/wp-content/uploads/2021/03/AC2044.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2044A.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2044B.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2044C.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2044E.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2044F.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2044G.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2044H.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2044I.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2044J.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2044L.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2044M.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2044N.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2044O.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2044P.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2044Q.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2044R.jpg",,,,,,,,,1752,,inventory,AC2044,1,1,Manufacturer,"Gardner Denver",1,0,Model,ECPMC,1,0,HP,100,1,0,CFM,0,1,1,Volts,230,1,0,Weight,4500,1,0,PSI,150,1,0,"Serial Number",M49095,1,0,weight,4500,1,1,"New / Used",Used,1,1,serial-num,M49095,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,simple,AA2017,,"Used Agitation Blower - Spencer 10 HP 15 PSI Turbo Compressor Blower-Blowers - Agitation",1,0,visible,,"Used Agitation Blower - Spencer 10 HP 15 PSI Turbo Compressor Blower",,,taxable,,0,0,,0,0,550,,,,0,,,2749,"Blowers - Agitation",,,"https://lanco-corp.com/wp-content/uploads/2021/05/AA2017-1.jpg, https://lanco-corp.com/wp-content/uploads/2021/05/AA2017A-1.jpg",,,,,,,,,3840,,inventory,AA2017,1,1,Manufacturer,Spencer,1,1,model,201Q-H,1,1,hp,10,1,1,CFM,700,1,1,press,15,1,1,material,Steel,1,1,Volts,460/480,1,1,inlet-in,6,1,1,outlet-in,6,1,1,oad,"30""L x 42""W x 36""H",1,1,rpm,3480,1,1,phase,3,1,1,weight,550,1,1,"New / Used",Used,1,1,,,,,,,,,,,,,,,,
683,simple,AB2097,,"Used Anode Basket - Carbon 1&quot; x 6&quot; Anode Basket-Anode Baskets",1,0,visible,"Used Anode Basket - Carbon 1"" x 6"" Anode Basket",,,,taxable,,0,0,,0,0,10,,,,0,,,42,"Anode Baskets",,'-1,"https://lanco-corp.com/wp-content/uploads/2021/05/ab2097-1.jpg, https://lanco-corp.com/wp-content/uploads/2021/05/ab2097a-1.jpg",,,,,,,,,5968,,inventory,AB2097,1,1,material,Carbon,1,1,weight,10,1,1,Length,24,1,1,size,"1"" x 6""",1,1,hook-length,"7""",1,1,hook-style,"Straigh 3/8 Threaded Titanium",1,1,diameter,0,1,1,"New / Used",Used,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,simple,AB2102,,"Titanium 3"" x 6"" Anode Basket  AB2102",1,0,visible,,"<p>Titanium 3"" x 6"" Anode Basket  AB2102</p>",,,taxable,,0,0,,0,0,8,,,,0,,,125,"Anode Baskets",,,"https://lanco-corp.com/wp-content/uploads/2021/03/AB2102.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AB2102A.jpg",,,,,,,,,2094,,inventory,AB2102,1,1,material,Titanium,1,1,"New / Used",Used,1,1,weight,8,1,1,Length,62,1,1,size,"3"" x 6""",1,1,hook-length,"4""",1,1,hook-style,"1/.2"" Square",1,1,diameter,0,1,1,on-hand,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,simple,AH2014,,"Metalcraft Model 310370 Automatic Dumper  AH2014",1,0,visible,,"Metalcraft Model 310370 Automatic Dumper  AH2014",,,taxable,,0,0,,0,0,930,,,,0,,,2949,"Automatic Dumpers",,,"https://lanco-corp.com/wp-content/uploads/2021/05/AH2014-1.jpg, https://lanco-corp.com/wp-content/uploads/2021/05/AH2014A-1.jpg, https://lanco-corp.com/wp-content/uploads/2021/05/AH2014B-1.jpg",,,,,,,,,3950,,inventory,AH2014,1,1,Manufacturer,Metalcraft,1,1,"New / Used",Used,1,1,weight,930,1,1,Capacity,0,1,1,width,50,1,1,depth,49,1,1,height,56,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,simple,AK2003,,"Used Air Knife Blower - FIMM 4 HP Air Knife Blower 440 volt 8&quot; Inlet-Blowers -Air Knife/Circulation",1,0,visible,"5.5 amps, good condition.  Location: E1B.","Used Air Knife Blower - FIMM 4 HP Air Knife Blower 440 volt 8&quot; Inlet",,,taxable,,0,0,,0,0,315,,,,0,,,784,"Blowers - Air Knife - Circulation",,,"https://lanco-corp.com/wp-content/uploads/2021/05/AK2003-1.jpg, https://lanco-corp.com/wp-content/uploads/2021/05/AK2003A-1.jpg",,,,,,,,,3883,,inventory,AK2003,1,1,Manufacturer,FIMM,1,1,model,2BT3,1,1,hp,4,1,1,CFM,0,1,1,material,Steel,1,1,Volts,440,1,1,inlet-in,8,1,1,outlet-in,6,1,1,"New / Used",Used,1,1,phase,3,1,1,weight,315,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,simple,AK2009,,"Used Air Knife Blower - New York Blower 2 HP 230/460 Volt Air Knife Blower-Blowers -Air Knife/Circulation",1,0,visible,"Wired 460, size 1704A02.  Location: E11E.","Used Air Knife Blower - New York Blower 2 HP 230/460 Volt Air Knife Blower",,,taxable,,0,0,,0,0,310,,,,0,,,1949,"Blowers - Air Knife - Circulation",,,"https://lanco-corp.com/wp-content/uploads/2021/05/AK2009-1.jpg, https://lanco-corp.com/wp-content/uploads/2021/05/AK2009A-1.jpg, https://lanco-corp.com/wp-content/uploads/2021/05/AK2009B-1.jpg, https://lanco-corp.com/wp-content/uploads/2021/05/AK2009C-1.jpg",,,,,,,,,3886,,inventory,AK2009,1,1,Manufacturer,"New York Blower",1,1,model,F-1484-100,1,1,hp,2,1,1,CFM,0,1,1,press,.0,1,1,material,Steel,1,1,Volts,230/460,1,1,inlet-in,6,1,1,outlet-in,4,1,1,oad,"36""L x 36""W x 36""H",1,1,rpm,3450,1,1,phase,3,1,1,weight,310,1,1,"New / Used",Used,1,1,,,,,,,,,,,,,,,,
